PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,taxi_demand
-0.5187542555587368,0.917430654501886,-4.289253561789908,1.1303383970998622,-0.42178193966682626,-1.7119113298152306,2.6133291177143287,-1.037457849589201,-1.1325646370849176,1.3744783595736076,1051
-0.6995359389995607,0.9158000948527475,-4.206066639724953,1.1557335010992023,-0.42113664722570926,-1.694405082101116,2.5452315116730895,-1.0314339410593236,-1.0982317997586548,1.3140716328158446,436
-0.8963974538660054,0.9118726504164938,-4.015032055210722,0.9248286882770642,-0.4241542790522191,-1.6561727327511384,2.434999699024082,-1.014045102290769,-1.0312667753215308,1.1899707060563232,268
-1.0224391708674376,0.9049796481853737,-3.8115748366472872,0.5750386888812856,-0.4371918561776937,-1.5947204065114846,2.337239246901031,-0.9911717569418117,-0.9641977502035476,1.0518917572185715,220
-1.0840725776613866,0.8955032326206371,-3.6353078040687796,0.2783439516213247,-0.45633752778944814,-1.5212871457102024,2.2554606957029586,-0.967714916689221,-0.9052087032822286,0.9203229140603277,277
-1.1116744811091472,0.8840371766536728,-3.5119178996511424,0.14946623284797272,-0.47949053022292787,-1.4411015529584097,2.1907747320612807,-0.9463315675229709,-0.8589038444842164,0.805899456353224,624
-0.995601311345225,0.8808044295714764,-3.4337116688413176,-0.16685485393891847,-0.48657575721781104,-1.4251326744369683,2.18560146600959,-0.9419206215940481,-0.8481274624410469,0.7826805018442049,1341
-0.7243928727382936,0.883846568079052,-3.414926125876218,-0.6403657917466318,-0.4841332562560935,-1.45719111150682,2.2481308756919764,-0.9520042352796726,-0.8757917378631693,0.8459169210086532,2163
-0.38143977459520656,0.8864603137061896,-3.4637074202681872,-0.9255714869986387,-0.47960483495516826,-1.502281232150003,2.3351803800535382,-0.9694169021640411,-0.9233262642468321,0.9495046943985046,3021
-0.09137767953752624,0.8851409879178718,-3.512938936482465,-1.2582927280640297,-0.4946654233218025,-1.4939578553859982,2.4326437012533493,-0.9753753019976059,-0.9679370882990098,1.015814395429141,3779
0.27702623348924466,0.8794591624282093,-3.5691804779932204,-1.3599898558332832,-0.5055389392932509,-1.4914933162758977,2.5042308562152162,-0.9832738165061022,-1.005208969062052,1.0783039259601308,4394
0.7182468332811965,0.8670677774391536,-3.5979576276210152,-1.3774407136550906,-0.5228161525868363,-1.4649046301420647,2.548001957422526,-0.9845324287424705,-1.0259031578748714,1.103897559400026,4825
0.9972028119253952,0.8588778917461942,-3.611726600654441,-1.3742758062578175,-0.5330274449273998,-1.449571866080927,2.570978869763041,-0.9866854466770965,-1.0383020062127333,1.1214232864278544,5280
1.217878665224865,0.8453174628255862,-3.593658965363209,-1.329248656902128,-0.5559356649245781,-1.389990419147004,2.566382075100785,-0.9772319511076012,-1.0309293876794405,1.0828637362923612,5972
1.5687707244221516,0.8209886434510604,-3.5273069596019675,-1.0985461559710379,-0.5842054525922795,-1.3027933560674347,2.506152563606206,-0.9592452715535842,-0.9938620143893456,0.987793941415841,6344
1.904833748631189,0.7988258751936311,-3.4498408861253056,-0.773114348600354,-0.5982002935187255,-1.248602741020138,2.4203719502741414,-0.9474855148227385,-0.9502520428616142,0.9032518678270298,6174
2.091721112408607,0.7827146916784362,-3.421081127556285,-0.380992020143129,-0.6077554980252651,-1.2090151328604772,2.354811090590934,-0.9414635828090325,-0.9222344197315238,0.8488384686290795,6537
2.3698934323358967,0.7592976954067782,-3.3473228768665697,-0.057499795042064615,-0.6306384506820629,-1.1295247402527167,2.2724824631699994,-0.9243962362525159,-0.8771615736417007,0.7462089794329505,6288
2.357221540737717,0.7477173876275043,-3.3375530911546623,0.3363878988049681,-0.6424302049295995,-1.0817237905908004,2.2147542611273208,-0.9172088832406611,-0.8532937066254096,0.6899330215464472,5853
2.339745151988272,0.7441087580515297,-3.3538148560440075,0.5333923588979145,-0.6459017944800036,-1.0694254234587757,2.201236814226278,-0.9192016644749188,-0.8531010893553731,0.6877711070216712,4754
