timestamp_quarter,timestamp_second,timestamp_hour,timestamp_year_end,passenger_demand_lag_1,passenger_demand_lag_8,taxi_demand_lag_16,timestamp_days_in_month,timestamp_day_of_month,timestamp_month_start,timestamp_year_start,timestamp_leap_year,timestamp_month_end,timestamp_day_of_week,timestamp_minute,taxi_demand_expanding_std,timestamp_quarter_start,timestamp_year,taxi_demand
-1.2395060595747684,0.0,-1.661324772583615,0.0,-0.9560177560190724,0.3843736157500389,-1.4218907020570026,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-5.062041096734329,-0.08606629658238704,0.0,1051
-1.2395060595747684,0.0,-1.516861748880692,0.0,-1.2777939243938545,0.4270588560810101,-1.2881076892051757,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-4.9089233399070675,-0.08606629658238704,0.0,436
-1.2395060595747684,0.0,-1.372398725177769,0.0,-1.5243008136166407,0.23999706757175418,-1.0372645401080003,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-4.628397951457823,-0.08606629658238704,0.0,268
-1.2395060595747684,0.0,-1.227935701474846,0.0,-1.6067833986873694,-0.01485892616904413,-0.7293668708240163,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-4.362461550033346,-0.08606629658238704,0.0,220
-1.2395060595747684,0.0,-1.0834726777719228,0.0,-1.6042744227156363,-0.19658505963692866,-0.44770116484431205,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-4.14059774835841,-0.08606629658238704,0.0,277
-1.2395060595747684,0.0,-0.9390096540689998,0.0,-1.592043164853437,-0.2031761629233286,-0.22374577813402335,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-3.979648743837123,-0.08606629658238704,0.0,624
-1.2395060595747684,0.0,-0.7945466303660768,0.0,-1.4716123182102436,-0.4771777424008125,-0.12963860977991962,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-3.9266272022772473,-0.08606629658238704,0.0,1341
-1.2395060595747684,0.0,-0.6500836066631537,0.0,-1.201270157255992,-0.955503523756695,-0.14013139510163153,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-4.004922513433226,-0.08606629658238704,0.0,2163
-1.2395060595747684,0.0,-0.5056205829602307,0.0,-0.9252828003653407,-1.2775259986065215,-0.28375139419256334,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-4.162748125886434,-0.08606629658238704,0.0,3021
-1.2395060595747684,0.0,-0.36115755925730764,0.0,-0.5705763223615603,-1.524221578754634,-0.23456646299703876,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-4.340583447870288,-0.08606629658238704,0.0,3779
-1.2395060595747684,0.0,-0.21669453555438456,0.0,-0.2353144081387123,-1.606767300865262,-0.3722842703445077,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-4.489822966964916,-0.08606629658238704,0.0,4394
-1.2395060595747684,0.0,-0.07223151185146152,0.0,0.1799211151831313,-1.604256404375205,-0.5690239951266061,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-4.588732072125232,-0.08606629658238704,0.0,4825
-1.2395060595747684,0.0,0.07223151185146152,0.0,0.38722525484758646,-1.5920157839861766,-0.695593218069756,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-4.6416183086582254,-0.08606629658238704,0.0,5280
-1.2395060595747684,0.0,0.21669453555438456,0.0,0.5964111264908415,-1.4714927524634345,-0.7175624873370904,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-4.639533177107032,-0.08606629658238704,0.0,5972
-1.2395060595747684,0.0,0.36115755925730764,0.0,0.9018789510493579,-1.2009436556597792,-0.9002025318431384,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-4.537787917993961,-0.08606629658238704,0.0,6344
-1.2395060595747684,0.0,0.5056205829602307,0.0,1.0781345130636149,-0.9247450417534953,-1.209083899751033,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-4.388549006173944,-0.08606629658238704,0.0,6174
-1.2395060595747684,0.0,0.6500836066631537,0.0,1.0665304991943487,-0.569767050471669,-1.44320417224173,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-4.29196217089375,-0.08606629658238704,0.0,6537
-1.2395060595747684,0.0,0.7945466303660768,0.0,1.2396498412439392,-0.23424850698778554,-1.644862390143381,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-4.15129944819709,-0.08606629658238704,0.0,6288
-1.2395060595747684,0.0,0.9390096540689998,0.0,1.04771317940635,0.18130486211666885,-1.6999495130823685,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-4.071876706464673,-0.08606629658238704,0.0,5853
-1.2395060595747684,0.0,1.0834726777719228,0.0,0.8658124214556933,0.3887676846076389,-1.7156886910649363,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-4.065165627569046,-0.08606629658238704,0.0,4754
-1.2395060595747684,0.0,1.227935701474846,0.0,0.41262863656138504,0.5981136794661518,-1.696998417210637,0.694623231909691,-1.5702780309453284,-0.17407765595569782,0.0,0.0,-0.1849879247934622,-0.0018357092843968189,0.0,-4.163417881489469,-0.08606629658238704,0.0,4258
